orderid,orderdate
22258,21-11-2014
22259,22-07-2016
22260,20-04-2016
22261,28-10-2016
22262,06-11-2015
22263,08-06-2014
22264,02-10-2016
22265,15-03-2016
22266,20-09-2014
22267,20-05-2014
22268,10-05-2016
22269,10-06-2014
22270,11-10-2015
22271,11-06-2014
22272,14-02-2016
22273,09-01-2016
22274,18-10-2016
22275,17-12-2015
22276,28-08-2016
22277,25-12-2014
22278,18-05-2014
22279,05-05-2015
22280,03-05-2014
22281,14-11-2014
22282,11-05-2016
22283,08-02-2017
22284,17-12-2014
22285,15-02-2017
22286,31-05-2016
22287,09-05-2015
22288,27-06-2014
22289,03-09-2016
22290,10-03-2015
22291,09-05-2014
22292,29-01-2016
22293,05-11-2015
22294,04-02-2016
22295,29-11-2014
22296,14-05-2014
22297,13-12-2016
22298,30-05-2014
22299,05-12-2016
22300,14-12-2016
22301,25-12-2015
22302,24-08-2016
22303,18-02-2016
22304,16-05-2015
22305,27-01-2016
22306,24-05-2016
22307,30-10-2015
22308,19-10-2016
22309,25-04-2015
22310,03-06-2016
22311,13-12-2014
22312,22-05-2014
22313,30-08-2016
22314,11-07-2015
22315,28-12-2015
22316,02-01-2016
22317,01-03-2016
22318,03-08-2015
22319,28-07-2014
22320,24-09-2014
22321,05-04-2015
22322,10-05-2016
22323,14-09-2014
22324,17-02-2015
22325,25-04-2015
22326,23-01-2015
22327,16-06-2015
22328,19-06-2014
22329,04-08-2015
22330,17-09-2014
22331,29-09-2015
22332,28-11-2015
22333,12-06-2016
22334,26-06-2016
22335,18-07-2016
22336,04-01-2016
22337,25-05-2014
22338,25-11-2016
22339,10-05-2014
22340,30-12-2016
22341,15-05-2016
22342,07-11-2015
22343,28-04-2016
22344,14-12-2014
22345,05-04-2014
22346,25-07-2014
22347,27-10-2014
22348,19-01-2017
22349,14-10-2014
22350,16-06-2014
22351,24-10-2014
22352,04-02-2015
22353,31-10-2015
22354,17-08-2014
22355,08-09-2015
22356,14-07-2016
22357,12-05-2014
22358,22-01-2015
22359,11-04-2016
22360,06-07-2014
22361,02-10-2015
22362,23-11-2014
22363,30-07-2016
22364,14-12-2015
22365,24-05-2014
22366,28-09-2016
22367,24-02-2016
22368,01-08-2016
22369,06-12-2016
22370,20-08-2016
22371,10-03-2016
22372,23-10-2014
22373,25-07-2014
22374,14-09-2015
22375,01-02-2015
22376,19-10-2014
22377,06-03-2016
22378,02-03-2015
22379,15-03-2017
22380,04-01-2015
22381,30-09-2015
22382,23-07-2016
22383,22-12-2015
22384,08-09-2016
22385,03-09-2015
22386,06-12-2016
22387,24-09-2014
22388,18-01-2017
22389,30-07-2014
22390,08-12-2016
22391,22-02-2017
22392,04-10-2014
22393,06-08-2015
22394,06-07-2016
22395,21-01-2016
22396,26-12-2014
22397,02-08-2015
22398,26-10-2014
22399,05-08-2016
22400,04-01-2016
22401,25-11-2015
22402,13-04-2014
22403,01-07-2015
22404,03-04-2017
22405,14-12-2015
22406,29-04-2016
22407,06-07-2014
22408,06-05-2015
22409,12-12-2016
22410,01-05-2016
22411,27-01-2015
22412,22-04-2015
22413,16-08-2016
22414,28-12-2015
22415,27-03-2017
22416,22-12-2016
22417,03-03-2015
22418,17-03-2015
22419,01-09-2016
22420,10-06-2014
22421,15-09-2016
22422,02-06-2015
22423,28-07-2014
22424,16-03-2017
22425,11-01-2015
22426,16-05-2016
22427,25-07-2014
22428,07-12-2014
22429,28-09-2014
22430,15-08-2014
22431,14-05-2016
22432,13-07-2016
22433,07-05-2016
22434,27-06-2016
22435,06-07-2016
22436,07-12-2015
22437,11-08-2015
22438,02-09-2016
22439,03-12-2014
22440,21-11-2014
22441,14-12-2016
22442,07-07-2015
22443,11-05-2014
22444,03-02-2015
22445,17-11-2014
22446,15-12-2016
22447,13-01-2017
22448,29-04-2016
22449,21-02-2017
22450,24-12-2014
22451,05-03-2017
22452,18-05-2016
22453,03-08-2014
22454,08-11-2016
22455,22-08-2014
22456,10-07-2014
22457,03-12-2014
22458,21-04-2016
22459,29-09-2014
22460,30-04-2014
22461,08-10-2015
22462,15-09-2016
22463,06-01-2017
22464,24-09-2016
22465,19-03-2017
22466,04-09-2016
22467,31-03-2017
22468,29-05-2016
22469,20-02-2016
22470,17-06-2016
22471,08-02-2015
22472,28-08-2015
22473,07-07-2014
22474,09-04-2014
22475,28-09-2014
22476,25-01-2015
22477,01-10-2015
22478,19-08-2016
22479,20-08-2014
22480,15-02-2017
22481,31-10-2014
22482,01-01-2015
22483,06-12-2014
22484,15-07-2015
22485,08-11-2016
22486,07-11-2016
22487,19-10-2015
22488,13-06-2015
22489,21-01-2016
22490,04-08-2016
22491,22-07-2016
22492,18-03-2015
22493,22-03-2017
22494,28-11-2016
22495,16-12-2016
22496,15-08-2016
22497,07-01-2017
22498,06-08-2016
22499,16-10-2016
22500,22-01-2015
22501,18-09-2014
22502,08-11-2014
22503,18-05-2015
22504,21-12-2016
22505,05-10-2015
22506,19-05-2015
22507,15-05-2015
22508,27-12-2016
22509,26-08-2014
22510,20-03-2015
22511,31-08-2014
22512,07-07-2014
22513,19-05-2016
22514,29-11-2016
22515,23-01-2017
22516,21-02-2015
22517,20-10-2014
22518,18-02-2017
22519,11-11-2016
22520,25-09-2014
22521,08-11-2014
22522,24-10-2016
22523,17-11-2014
22524,18-12-2014
22525,01-12-2016
22526,03-04-2015
22527,18-11-2015
22528,11-05-2015
22529,05-11-2016
22530,11-12-2016
22531,06-06-2014
22532,15-03-2015
22533,15-06-2016
22534,30-08-2016
22535,22-08-2014
22536,15-11-2014
22537,14-06-2016
22538,09-08-2016
22539,15-04-2014
22540,20-05-2016
22541,30-09-2015
22542,06-11-2014
22543,29-04-2016
22544,03-10-2015
22545,30-12-2016
22546,26-11-2014
22547,20-03-2016
22548,23-02-2017
22549,17-11-2015
22550,27-08-2014
22551,08-02-2017
22552,11-06-2016
22553,11-09-2014
22554,26-09-2016
22555,30-04-2014
22556,24-04-2015
22557,02-08-2015
22558,18-03-2016
22559,31-05-2016
22560,21-04-2016
22561,17-10-2016
22562,12-10-2015
22563,12-07-2016
22564,22-01-2017
22565,01-01-2015
22566,31-01-2016
22567,23-11-2015
22568,26-12-2016
22569,12-10-2015
22570,15-03-2015
22571,16-02-2016
22572,19-06-2016
22573,05-07-2015
22574,07-07-2014
22575,27-09-2016
22576,12-03-2016
22577,18-11-2015
22578,03-08-2016
22579,26-01-2016
22580,23-06-2015
22581,29-07-2015
22582,22-09-2015
22583,15-03-2015
22584,02-09-2015
22585,24-08-2014
22586,23-07-2015
22587,07-10-2016
22588,22-08-2016
22589,23-05-2014
22590,19-09-2016
22591,30-05-2016
22592,27-01-2016
22593,17-02-2016
22594,14-07-2014
22595,28-06-2016
22596,07-01-2016
22597,24-02-2017
22598,03-05-2014
22599,11-09-2015
22600,08-08-2015
22601,06-08-2015
22602,02-01-2015
22603,23-10-2015
22604,23-04-2016
22605,30-07-2014
22606,01-09-2015
22607,07-05-2015
22608,03-06-2015
22609,28-09-2016
22610,26-12-2015
22611,22-01-2017
22612,28-11-2014
22613,01-05-2014
22614,28-02-2015
22615,16-05-2014
22616,01-10-2014
22617,17-01-2015
22618,04-05-2016
22619,05-01-2016
22620,18-06-2016
22621,28-08-2014
22622,01-04-2015
22623,06-06-2014
22624,22-09-2014
22625,16-06-2016
22626,07-07-2014
22627,13-11-2015
22628,08-01-2017
22629,02-07-2016
22630,27-04-2014
22631,31-07-2015
22632,13-04-2015
22633,09-04-2015
22634,01-10-2016
22635,22-05-2015
22636,03-12-2014
22637,17-04-2015
22638,18-02-2017
22639,02-04-2015
22640,09-08-2014
22641,18-02-2016
22642,21-05-2015
22643,14-08-2014
22644,25-01-2015
22645,24-04-2014
22646,19-02-2016
22647,30-04-2014
22648,07-06-2015
22649,31-12-2014
22650,04-12-2016
22651,15-03-2015
22652,30-11-2014
22653,23-08-2015
22654,09-03-2015
22655,12-04-2016
22656,13-12-2014
22657,02-07-2016
22658,08-02-2016
22659,19-06-2014
22660,14-09-2015
22661,11-10-2016
22662,23-08-2016
22663,12-11-2016
22664,23-07-2014
22665,03-05-2014
22666,29-12-2016
22667,12-09-2014
22668,24-01-2015
22669,22-12-2015
22670,11-05-2014
22671,02-04-2015
22672,13-04-2014
22673,21-01-2016
22674,17-02-2017
22675,30-07-2016
22676,19-03-2017
22677,28-10-2014
22678,15-01-2016
22679,11-10-2014
22680,05-10-2015
22681,15-03-2015
22682,17-10-2014
22683,29-09-2016
22684,01-01-2017
22685,05-01-2017
22686,25-10-2015
22687,28-12-2016
22688,06-08-2015
22689,25-09-2015
22690,09-07-2015
22691,31-01-2015
22692,10-01-2017
22693,18-04-2014
22694,19-08-2015
22695,11-02-2017
22696,25-01-2016
22697,16-10-2014
22698,19-09-2015
22699,11-06-2014
22700,21-08-2015
22701,21-01-2015
22702,17-09-2014
22703,12-08-2016
22704,15-02-2015
22705,01-02-2017
22706,26-01-2016
22707,30-11-2016
22708,25-06-2014
22709,03-02-2016
22710,25-02-2015
22711,02-02-2016
22712,28-11-2016
22713,28-12-2014
22714,07-12-2014
22715,29-09-2015
22716,11-02-2015
22717,05-05-2015
22718,16-06-2015
22719,31-05-2014
22720,10-12-2016
22721,10-12-2016
22722,13-01-2015
22723,22-10-2016
22724,18-05-2014
22725,30-05-2014
22726,22-11-2014
22727,19-04-2014
22728,11-06-2016
22729,16-06-2016
22730,06-06-2015
22731,01-05-2015
22732,08-08-2015
22733,22-07-2014
22734,29-08-2015
22735,22-03-2015
22736,30-11-2015
22737,13-10-2014
22738,01-10-2014
22739,15-11-2015
22740,07-06-2016
22741,15-07-2015
22742,25-08-2014
22743,07-08-2016
22744,07-07-2015
22745,14-01-2017
22746,30-10-2016
22747,15-06-2016
22748,15-11-2015
22749,29-05-2014
22750,07-06-2015
22751,28-12-2015
22752,23-05-2016
22753,19-08-2015
22754,05-01-2015
22755,03-08-2016
22756,10-09-2015
22757,12-07-2015
22758,16-12-2015
22759,29-09-2015
22760,03-04-2017
22761,15-03-2017
22762,30-03-2015
22763,11-06-2016
22764,29-08-2015
22765,08-06-2015
22766,04-02-2016
22767,13-09-2016
22768,09-01-2017
22769,01-07-2015
22770,29-03-2015
22771,23-08-2015
22772,20-02-2017
22773,02-09-2016
22774,31-07-2014
22775,25-11-2016
22776,02-09-2014
22777,26-09-2016
22778,02-04-2015
22779,28-02-2015
22780,05-03-2016
22781,30-08-2014
22782,14-02-2015
22783,16-04-2014
22784,25-01-2015
22785,10-01-2016
22786,24-07-2014
22787,08-08-2016
22788,18-07-2014
22789,12-06-2015
22790,24-12-2014
22791,12-08-2016
22792,06-08-2016
22793,01-04-2017
22794,02-11-2016
22795,26-07-2014
22796,06-10-2016
22797,03-08-2016
22798,08-11-2015
22799,05-07-2014
22800,07-03-2016
22801,06-01-2016
22802,31-05-2015
22803,21-05-2015
22804,17-03-2017
22805,02-03-2017
22806,06-02-2017
22807,12-07-2014
22808,22-02-2016
22809,23-06-2014
22810,04-10-2015
22811,17-01-2015
22812,13-04-2016
22813,30-10-2015
22814,07-01-2016
22815,14-09-2015
22816,11-07-2015
22817,25-01-2015
22818,12-11-2015
22819,03-08-2016
22820,04-07-2014
22821,03-02-2015
22822,27-07-2015
22823,19-11-2015
22824,06-05-2016
22825,30-10-2014
22826,08-11-2014
22827,17-04-2014
22828,26-05-2016
22829,29-05-2014
22830,06-09-2015
22831,12-03-2015
22832,13-09-2016
22833,15-03-2017
22834,19-01-2016
22835,10-09-2014
22836,10-11-2016
22837,13-10-2016
22838,25-03-2017
22839,15-08-2014
22840,16-06-2015
22841,07-12-2016
22842,28-06-2015
22843,17-05-2015
22844,12-12-2014
22845,09-05-2016
22846,30-06-2014
22847,05-09-2015
22848,18-06-2015
22849,09-07-2014
22850,09-04-2016
22851,30-04-2016
22852,18-07-2015
22853,04-03-2017
22854,07-12-2014
22855,10-05-2014
22856,13-07-2015
22857,07-11-2016
22858,14-04-2016
22859,05-01-2016
22860,22-07-2015
22861,02-03-2015
22862,01-06-2014
22863,27-05-2014
22864,25-01-2016
22865,23-01-2015
22866,16-09-2016
22867,10-11-2015
22868,26-07-2016
22869,04-11-2014
22870,19-12-2016
22871,03-04-2015
22872,12-08-2014
22873,17-03-2015
22874,15-09-2015
22875,31-12-2014
22876,13-09-2014
22877,11-05-2016
22878,28-05-2016
22879,19-11-2014
22880,21-11-2014
22881,11-04-2016
22882,04-05-2014
22883,07-04-2014
22884,24-06-2014
22885,28-05-2014
22886,01-07-2016
22887,14-04-2016
22888,23-10-2015
22889,20-02-2016
22890,31-08-2015
22891,24-02-2016
22892,12-08-2015
22893,11-07-2016
22894,30-06-2014
22895,23-05-2015
22896,20-03-2017
22897,05-09-2014
22898,29-05-2014
22899,02-03-2016
22900,24-04-2015
22901,09-08-2014
22902,04-11-2015
22903,06-01-2017
22904,13-09-2014
22905,05-07-2015
22906,01-02-2017
22907,06-12-2014
22908,11-06-2015
22909,17-02-2016
22910,31-07-2015
22911,01-12-2016
22912,04-08-2014
22913,31-08-2014
22914,29-06-2014
22915,07-06-2016
22916,20-04-2014
22917,13-06-2016
22918,14-11-2016
22919,19-05-2016
22920,27-08-2015
22921,05-10-2015
22922,11-04-2016
22923,18-08-2016
22924,23-10-2014
22925,26-11-2015
22926,20-08-2015
22927,10-09-2015
22928,10-09-2016
22929,28-10-2016
22930,03-01-2015
22931,29-12-2014
22932,11-07-2014
22933,16-11-2014
22934,11-05-2014
22935,01-10-2014
22936,15-08-2014
22937,18-07-2015
22938,25-11-2015
22939,28-10-2014
22940,16-09-2015
22941,26-09-2014
22942,12-11-2016
22943,24-01-2015
22944,24-03-2015
22945,21-01-2016
22946,21-11-2014
22947,23-07-2016
22948,26-03-2017
22949,15-05-2015
22950,19-06-2015
22951,18-07-2015
22952,17-11-2015
22953,26-10-2014
22954,24-12-2014
22955,14-01-2017
22956,31-12-2016
22957,04-03-2017
22958,28-08-2014
22959,20-07-2015
22960,24-12-2014
22961,11-07-2016
22962,07-04-2014
22963,16-02-2016
22964,17-08-2014
22965,21-04-2016
22966,16-10-2016
22967,18-05-2016
22968,29-11-2014
22969,30-11-2016
22970,18-06-2014
22971,17-11-2015
22972,16-08-2015
22973,09-12-2014
22974,14-02-2016
22975,18-01-2015
22976,21-09-2016
22977,13-06-2015
22978,08-08-2016
22979,07-05-2016
22980,27-11-2014
22981,18-12-2015
22982,07-01-2015
22983,02-04-2017
22984,21-05-2014
22985,08-01-2015
22986,16-02-2016
22987,13-06-2016
22988,11-01-2016
22989,06-09-2014
22990,12-01-2017
22991,26-10-2015
22992,20-12-2015
22993,27-05-2016
22994,18-05-2014
22995,02-04-2016
22996,29-09-2015
22997,12-05-2016
22998,12-12-2014
22999,16-02-2016
23000,05-03-2017
23001,27-07-2016
23002,22-05-2016
23003,01-07-2014
23004,29-09-2014
23005,23-08-2015
23006,14-08-2015
23007,04-07-2014
23008,05-06-2014
23009,06-10-2016
23010,27-08-2014
23011,08-11-2014
23012,09-07-2014
23013,09-07-2016
23014,08-01-2017
23015,04-06-2015
23016,24-11-2015
23017,05-05-2015
23018,01-12-2016
23019,08-03-2015
23020,08-06-2016
23021,06-05-2016
23022,19-11-2015
23023,18-05-2014
23024,22-05-2014
23025,31-10-2015
23026,07-09-2016
23027,24-06-2014
23028,26-03-2015
23029,01-08-2014
23030,13-09-2015
23031,06-04-2015
23032,24-02-2016
23033,28-06-2014
23034,27-05-2015
23035,14-06-2015
23036,09-01-2015
23037,09-08-2016
23038,22-02-2017
23039,06-03-2016
23040,03-04-2016
23041,10-04-2015
23042,15-12-2014
23043,13-12-2014
23044,13-04-2016
23045,24-10-2016
23046,16-03-2016
23047,06-03-2016
23048,28-03-2016
23049,25-06-2016
23050,27-04-2016
23051,11-02-2017
23052,01-04-2017
23053,18-01-2015
23054,12-11-2015
23055,25-05-2014
23056,07-03-2017
23057,20-12-2016
23058,16-02-2015
23059,03-05-2015
23060,15-05-2014
23061,12-06-2014
23062,01-01-2015
23063,19-05-2016
23064,18-06-2015
23065,31-10-2014
23066,05-04-2014
23067,30-08-2015
23068,19-01-2015
23069,18-02-2016
23070,31-10-2015
23071,18-06-2015
23072,18-07-2014
23073,11-04-2015
23074,20-10-2015
23075,07-01-2016
23076,23-05-2015
23077,05-12-2016
23078,09-09-2014
23079,30-11-2014
23080,03-09-2015
23081,23-11-2016
23082,26-11-2015
23083,14-02-2017
23084,16-10-2016
23085,08-12-2016
23086,20-01-2015
23087,03-10-2014
23088,14-02-2016
23089,08-09-2015
23090,13-01-2016
23091,09-10-2015
23092,30-08-2014
23093,26-10-2015
23094,13-03-2015
23095,14-12-2014
23096,04-02-2016
23097,22-09-2015
23098,11-01-2016
23099,09-09-2014
23100,09-08-2016
23101,06-12-2016
23102,05-08-2015
23103,19-09-2014
23104,06-10-2015
23105,16-12-2014
23106,02-02-2015
23107,05-12-2014
23108,06-03-2016
23109,08-10-2016
23110,22-04-2015
23111,29-06-2014
23112,10-04-2014
23113,23-11-2016
23114,11-03-2016
23115,08-08-2014
23116,19-09-2015
23117,17-03-2015
23118,19-10-2015
23119,09-01-2017
23120,28-10-2016
23121,02-12-2016
23122,02-08-2016
23123,06-10-2016
23124,03-05-2014
23125,11-02-2017
23126,07-05-2016
23127,12-07-2016
23128,11-06-2014
23129,25-05-2015
23130,20-06-2016
23131,17-02-2016
23132,15-12-2016
23133,18-03-2015
23134,28-09-2016
23135,29-07-2016
23136,05-04-2015
23137,28-03-2015
23138,02-05-2014
23139,15-04-2016
23140,13-10-2015
23141,11-09-2016
23142,29-06-2014
23143,26-07-2016
23144,24-06-2014
23145,24-06-2015
23146,18-09-2015
23147,09-08-2016
23148,06-05-2014
23149,06-04-2015
23150,20-11-2014
23151,02-11-2015
23152,30-11-2015
23153,31-03-2016
23154,18-02-2015
23155,30-10-2014
23156,26-04-2015
23157,06-02-2017
23158,20-03-2016
23159,30-06-2015
23160,07-01-2015
23161,23-01-2017
23162,24-12-2014
23163,09-06-2015
23164,28-07-2015
23165,22-01-2015
23166,31-08-2016
23167,23-03-2016
23168,25-05-2016
23169,27-03-2017
23170,04-09-2016
23171,18-11-2014
23172,05-05-2014
23173,27-05-2014
23174,13-07-2015
23175,09-07-2015
23176,14-06-2014
23177,02-08-2015
23178,22-02-2015
23179,05-10-2015
23180,14-10-2014
23181,08-02-2017
23182,06-03-2015
23183,19-07-2016
23184,06-10-2016
23185,29-01-2015
23186,29-09-2016
23187,02-10-2015
23188,20-12-2015
23189,18-07-2016
23190,31-05-2014
23191,26-06-2014
23192,24-06-2016
23193,28-05-2015
23194,25-11-2014
23195,19-09-2015
23196,25-01-2015
23197,16-06-2016
23198,13-09-2014
23199,28-08-2016
23200,28-10-2015
23201,03-08-2016
23202,22-06-2016
23203,19-10-2015
23204,05-06-2016
23205,03-04-2016
23206,12-07-2016
23207,15-02-2015
23208,08-11-2014
23209,22-03-2016
23210,20-03-2016
23211,08-01-2017
23212,29-08-2016
23213,23-08-2015
23214,04-08-2016
23215,19-01-2016
23216,01-01-2015
23217,27-02-2015
23218,10-04-2015
23219,12-03-2015
23220,14-01-2016
23221,15-11-2014
23222,19-02-2015
23223,06-08-2014
23224,12-01-2017
23225,07-06-2014
23226,03-09-2014
23227,25-11-2015
23228,22-02-2015
23229,25-07-2014
23230,15-08-2015
23231,04-02-2015
23232,20-09-2014
23233,03-03-2016
23234,08-10-2014
23235,11-06-2016
23236,23-10-2015
23237,22-06-2014
23238,26-04-2016
23239,25-09-2014
23240,12-08-2014
23241,10-03-2017
23242,15-04-2015
23243,13-01-2015
23244,04-11-2014
23245,20-07-2014
23246,18-03-2015
23247,20-09-2016
23248,03-02-2017
23249,14-11-2016
23250,19-11-2015
23251,04-08-2015
23252,16-09-2016
23253,24-12-2014
23254,22-01-2017
23255,07-03-2015
23256,29-04-2014
23257,04-01-2017
23258,15-07-2014
23259,27-08-2015
23260,06-10-2016
23261,03-05-2015
23262,26-10-2016
23263,24-07-2015
23264,14-11-2016
23265,16-09-2015
23266,03-02-2015
23267,07-02-2016
23268,02-07-2014
23269,20-01-2016
23270,13-05-2014
23271,13-01-2016
23272,11-12-2016
23273,06-11-2015
23274,07-03-2015
23275,20-10-2014
23276,09-06-2014
23277,18-08-2015
23278,10-05-2016
23279,30-11-2016
23280,18-03-2017
23281,22-12-2016
23282,10-03-2017
23283,22-05-2015
23284,19-05-2016
23285,27-04-2015
23286,14-07-2016
23287,31-08-2016
23288,08-08-2015
23289,04-09-2016
23290,19-04-2016
23291,29-07-2014
23292,16-01-2016
23293,17-04-2014
23294,04-10-2015
23295,15-11-2014
23296,29-06-2016
23297,23-02-2015
23298,02-09-2016
23299,13-01-2017
23300,19-11-2014
23301,24-02-2016
23302,14-07-2016
23303,02-07-2016
23304,08-11-2015
23305,03-12-2016
23306,05-07-2015
23307,07-07-2016
23308,29-06-2014
23309,11-02-2015
23310,29-05-2016
23311,17-06-2016
23312,16-12-2016
23313,03-01-2016
23314,14-03-2016
23315,26-01-2017
23316,08-04-2016
23317,25-11-2014
23318,01-07-2014
23319,01-11-2016
23320,05-01-2017
23321,24-03-2017
23322,03-03-2016
23323,03-12-2014
23324,18-05-2015
23325,23-12-2015
23326,12-12-2014
23327,01-07-2015
23328,26-07-2015
23329,04-08-2015
23330,21-08-2016
23331,03-06-2015
23332,30-04-2014
23333,25-09-2016
23334,11-07-2015
23335,22-08-2015
23336,31-10-2014
23337,02-09-2014
23338,15-04-2016
23339,24-05-2015
23340,04-02-2017
23341,14-09-2016
23342,29-10-2015
23343,14-01-2016
23344,23-03-2016
23345,23-06-2015
23346,28-11-2015
23347,21-06-2014
23348,03-04-2017
23349,03-08-2015
23350,29-01-2017
23351,30-06-2014
23352,18-07-2014
23353,15-06-2014
23354,06-12-2015
23355,07-06-2016
23356,14-10-2015
23357,01-01-2017
23358,29-01-2017
23359,19-10-2014
23360,19-02-2016
23361,18-12-2016
23362,10-08-2015
23363,18-01-2017
23364,18-03-2015
23365,14-12-2015
23366,27-11-2014
23367,14-06-2015
23368,14-12-2016
23369,29-10-2016
23370,18-08-2014
23371,20-05-2016
23372,14-09-2016
23373,10-10-2016
23374,23-07-2014
23375,24-08-2014
23376,26-04-2016
23377,05-06-2015
23378,08-12-2015
23379,16-05-2014
23380,19-11-2014
23381,27-04-2015
23382,17-12-2014
23383,22-09-2014
23384,06-04-2015
23385,30-05-2014
23386,22-08-2015
23387,08-03-2017
23388,15-02-2015
23389,30-01-2015
23390,18-06-2015
23391,23-07-2016
23392,30-03-2017
23393,15-06-2016
23394,30-12-2015
23395,11-09-2014
23396,22-08-2015
23397,20-09-2016
23398,30-08-2014
23399,19-03-2016
23400,24-08-2015
23401,07-08-2014
23402,06-03-2017
23403,01-02-2017
23404,02-09-2014
23405,14-11-2016
23406,04-11-2014
23407,22-01-2016
23408,09-09-2014
23409,18-10-2015
23410,23-08-2014
23411,12-12-2014
23412,06-02-2015
23413,03-12-2016
23414,05-12-2014
23415,29-11-2016
23416,06-11-2016
23417,25-02-2016
23418,17-12-2014
23419,29-06-2014
23420,15-12-2014
23421,10-11-2016
23422,02-09-2014
23423,05-08-2016
23424,05-06-2014
23425,17-11-2015
23426,16-01-2017
23427,19-09-2014
23428,11-05-2014
23429,11-05-2016
23430,24-09-2015
23431,07-04-2015
23432,12-07-2016
23433,29-02-2016
23434,14-11-2016
23435,17-09-2016
23436,28-05-2016
23437,06-10-2015
23438,18-04-2015
23439,05-10-2016
23440,26-03-2017
23441,06-07-2015
23442,29-09-2015
23443,05-01-2016
23444,08-09-2016
23445,04-09-2014
23446,20-06-2015
23447,20-07-2016
23448,26-11-2016
23449,31-08-2015
23450,17-08-2016
23451,09-04-2014
23452,15-08-2015
23453,06-10-2015
23454,21-11-2015
23455,22-12-2015
23456,02-01-2016
23457,25-09-2015
23458,13-11-2015
23459,17-06-2014
23460,24-07-2014
23461,08-04-2014
23462,25-07-2015
23463,13-10-2014
23464,11-01-2015
23465,17-08-2014
23466,28-05-2015
23467,20-06-2015
23468,10-12-2015
23469,25-10-2015
23470,25-03-2017
23471,01-07-2014
23472,14-11-2014
23473,15-11-2014
23474,29-05-2015
23475,09-01-2015
23476,19-07-2016
23477,07-07-2015
23478,26-08-2015
23479,01-08-2015
23480,31-08-2015
23481,22-06-2016
23482,23-08-2015
23483,25-04-2016
23484,15-01-2017
23485,23-01-2017
23486,26-12-2016
23487,25-12-2014
23488,07-12-2015
23489,01-06-2014
23490,30-08-2015
23491,20-05-2015
23492,09-03-2016
23493,10-07-2014
23494,20-04-2016
23495,26-12-2016
23496,04-05-2014
23497,06-02-2017
23498,20-07-2015
23499,08-04-2014
23500,06-01-2016
23501,10-04-2014
23502,22-09-2014
23503,14-01-2016
23504,10-11-2014
23505,29-10-2016
23506,11-12-2016
23507,02-12-2014
23508,11-05-2015
23509,30-01-2015
23510,16-06-2014
23511,23-07-2015
23512,13-03-2017
23513,18-10-2015
23514,25-08-2014
23515,05-08-2014
23516,14-07-2015
23517,22-08-2015
23518,30-03-2017
23519,23-09-2016
23520,30-12-2016
23521,08-05-2015
23522,24-11-2014
23523,07-02-2016
23524,26-08-2015
23525,31-07-2016
23526,03-12-2014
23527,24-10-2016
23528,07-01-2016
23529,29-01-2017
23530,24-02-2017
23531,01-07-2016
23532,31-10-2016
23533,24-08-2015
23534,12-01-2016
23535,01-09-2015
23536,17-08-2015
23537,15-01-2017
23538,13-04-2016
23539,27-09-2014
23540,12-08-2014
23541,05-08-2014
23542,08-03-2016
23543,26-12-2015
23544,24-08-2015
23545,17-07-2016
23546,03-05-2016
23547,21-06-2014
23548,15-05-2016
23549,27-03-2015
23550,06-07-2014
23551,06-02-2017
23552,24-08-2016
23553,01-09-2015
23554,05-06-2015
23555,23-09-2014
23556,17-06-2015
23557,18-01-2017
23558,13-09-2014
23559,16-10-2015
23560,30-05-2014
23561,22-06-2015
23562,31-01-2015
23563,01-02-2016
23564,28-06-2014
23565,02-02-2017
23566,17-10-2015
23567,25-11-2014
23568,26-02-2016
23569,30-05-2014
23570,15-02-2015
23571,11-07-2016
23572,15-12-2015
23573,21-09-2015
23574,22-01-2016
23575,12-08-2015
23576,27-04-2016
23577,05-05-2016
23578,05-07-2015
23579,25-08-2016
23580,12-02-2015
23581,26-02-2016
23582,11-02-2017
23583,19-11-2016
23584,20-06-2014
23585,25-07-2015
23586,08-03-2017
23587,24-10-2015
23588,25-03-2017
23589,05-10-2014
23590,14-09-2015
23591,15-09-2015
23592,04-11-2015
23593,12-03-2015
23594,05-07-2015
23595,02-09-2014
23596,13-11-2015
23597,24-12-2015
23598,01-05-2016
23599,22-02-2016
23600,07-03-2015
23601,03-01-2015
23602,26-10-2015
23603,02-10-2014
23604,05-10-2014
23605,27-04-2014
23606,09-07-2016
23607,11-04-2016
23608,19-02-2015
23609,18-09-2014
23610,27-02-2016
23611,11-07-2014
23612,21-07-2016
23613,18-10-2016
23614,14-12-2016
23615,09-04-2015
23616,25-04-2015
23617,16-06-2014
23618,16-04-2016
23619,30-07-2014
23620,17-05-2015
23621,07-11-2015
23622,09-12-2016
23623,20-12-2016
23624,23-10-2014
23625,22-01-2017
23626,19-10-2016
23627,25-09-2014
23628,19-11-2014
23629,03-05-2014
23630,14-01-2017
23631,25-10-2014
23632,02-01-2016
23633,12-10-2014
23634,13-12-2014
23635,15-08-2014
23636,03-11-2015
23637,29-02-2016
23638,31-07-2014
23639,11-02-2015
23640,30-08-2014
23641,04-06-2015
23642,21-03-2016
23643,26-06-2016
23644,03-10-2016
23645,28-08-2015
23646,22-08-2015
23647,17-03-2015
23648,29-08-2015
23649,20-11-2014
23650,30-09-2014
23651,10-11-2015
23652,27-02-2015
23653,23-06-2016
23654,07-11-2015
23655,26-10-2015
23656,22-07-2014
