shipcost,shipmode,shipdate,transactionid,shipmentid
7,express Air,6/7/2015,27193,27193
5,Deleiivery Truck,7/17/2015,27194,27194
15,Regular Air,9/7/2014,27195,27195
5,express Air,8/3/2016,27196,27196
4,Deleiivery Truck,8/10/2015,27197,27197
2,Deleiivery Truck,2/1/2016,27198,27198
8,Regular Air,1/31/2015,27199,27199
13,express Air,11/18/2016,27200,27200
14,Regular Air,3/15/2016,27201,27201
7,Deleiivery Truck,10/22/2015,27202,27202
17,Regular Air,10/16/2016,27203,27203
2,Regular Air,9/2/2015,27204,27204
19,Deleiivery Truck,7/10/2014,27205,27205
5,Deleiivery Truck,6/14/2016,27206,27206
18,Regular Air,4/2/2017,27207,27207
11,Regular Air,3/26/2017,27208,27208
13,express Air,6/24/2016,27209,27209
15,express Air,12/14/2015,27210,27210
8,express Air,6/14/2014,27211,27211
18,Regular Air,10/4/2016,27212,27212
6,Regular Air,8/28/2015,27213,27213
2,Regular Air,10/22/2016,27214,27214
9,Deleiivery Truck,5/28/2014,27215,27215
5,Deleiivery Truck,11/11/2016,27216,27216
3,Regular Air,6/29/2015,27217,27217
18,Deleiivery Truck,8/2/2016,27218,27218
3,Deleiivery Truck,2/17/2015,27219,27219
6,Deleiivery Truck,7/1/2016,27220,27220
1,Deleiivery Truck,10/20/2015,27221,27221
9,Deleiivery Truck,10/20/2016,27222,27222
13,express Air,10/21/2015,27223,27223
12,express Air,6/24/2014,27224,27224
19,Deleiivery Truck,12/4/2014,27225,27225
15,express Air,9/7/2014,27226,27226
6,express Air,11/21/2015,27227,27227
14,express Air,1/15/2017,27228,27228
14,Regular Air,2/25/2016,27229,27229
19,express Air,3/31/2017,27230,27230
9,Regular Air,8/12/2016,27231,27231
9,Deleiivery Truck,10/7/2016,27232,27232
9,Deleiivery Truck,1/27/2015,27233,27233
9,Deleiivery Truck,1/30/2016,27234,27234
19,express Air,5/8/2014,27235,27235
13,express Air,12/24/2015,27236,27236
13,Regular Air,7/27/2014,27237,27237
1,Regular Air,9/14/2015,27238,27238
16,Regular Air,1/27/2017,27239,27239
16,Regular Air,2/14/2016,27240,27240
3,Deleiivery Truck,8/7/2016,27241,27241
7,express Air,4/20/2014,27242,27242
15,express Air,4/27/2014,27243,27243
11,express Air,9/12/2014,27244,27244
12,Deleiivery Truck,9/20/2014,27245,27245
2,express Air,8/17/2015,27246,27246
10,express Air,1/20/2015,27247,27247
16,Regular Air,9/25/2014,27248,27248
16,Deleiivery Truck,8/17/2014,27249,27249
12,Deleiivery Truck,7/28/2015,27250,27250
17,express Air,4/22/2016,27251,27251
15,Deleiivery Truck,5/29/2014,27252,27252
1,Deleiivery Truck,7/21/2014,27253,27253
5,Regular Air,11/7/2016,27254,27254
4,Deleiivery Truck,8/5/2016,27255,27255
6,Regular Air,4/30/2014,27256,27256
16,Deleiivery Truck,11/12/2016,27257,27257
7,Regular Air,7/11/2014,27258,27258
12,express Air,10/26/2016,27259,27259
7,express Air,10/22/2016,27260,27260
19,Deleiivery Truck,12/1/2014,27261,27261
14,Deleiivery Truck,3/3/2016,27262,27262
5,express Air,4/26/2014,27263,27263
10,Regular Air,12/21/2014,27264,27264
5,Deleiivery Truck,8/27/2015,27265,27265
4,Deleiivery Truck,12/17/2014,27266,27266
13,Regular Air,5/26/2014,27267,27267
19,express Air,2/7/2015,27268,27268
19,Deleiivery Truck,4/26/2016,27269,27269
13,Regular Air,10/22/2014,27270,27270
9,express Air,10/21/2014,27271,27271
5,express Air,10/2/2016,27272,27272
14,Regular Air,7/27/2014,27273,27273
2,express Air,4/21/2016,27274,27274
16,Deleiivery Truck,5/28/2015,27275,27275
2,Deleiivery Truck,9/16/2015,27276,27276
18,Deleiivery Truck,1/29/2016,27277,27277
3,Deleiivery Truck,10/17/2016,27278,27278
9,Deleiivery Truck,12/16/2014,27279,27279
11,Regular Air,1/8/2016,27280,27280
17,Regular Air,7/9/2015,27281,27281
5,express Air,3/4/2017,27282,27282
2,express Air,2/21/2015,27283,27283
2,Regular Air,2/26/2016,27284,27284
17,Regular Air,2/10/2015,27285,27285
1,Regular Air,11/10/2014,27286,27286
12,express Air,2/16/2017,27287,27287
1,express Air,11/22/2014,27288,27288
8,express Air,9/18/2016,27289,27289
2,Deleiivery Truck,7/1/2015,27290,27290
16,express Air,5/1/2015,27291,27291
5,Regular Air,8/22/2015,27292,27292
5,express Air,1/22/2015,27293,27293
18,Regular Air,8/31/2015,27294,27294
6,express Air,7/21/2016,27295,27295
6,Deleiivery Truck,2/16/2017,27296,27296
13,Deleiivery Truck,12/15/2016,27297,27297
5,express Air,12/17/2014,27298,27298
16,Regular Air,9/11/2016,27299,27299
18,Deleiivery Truck,12/10/2014,27300,27300
14,express Air,6/10/2016,27301,27301
13,Deleiivery Truck,2/13/2015,27302,27302
15,express Air,5/2/2014,27303,27303
11,express Air,1/18/2016,27304,27304
13,Regular Air,11/25/2015,27305,27305
5,Deleiivery Truck,4/27/2015,27306,27306
2,Deleiivery Truck,5/29/2016,27307,27307
18,Deleiivery Truck,6/9/2015,27308,27308
19,express Air,4/13/2016,27309,27309
17,Regular Air,6/6/2015,27310,27310
14,express Air,11/26/2016,27311,27311
15,Deleiivery Truck,8/22/2014,27312,27312
12,express Air,3/1/2017,27313,27313
19,express Air,7/9/2014,27314,27314
1,Regular Air,4/26/2014,27315,27315
6,express Air,1/5/2015,27316,27316
4,express Air,2/7/2016,27317,27317
5,Regular Air,2/3/2016,27318,27318
9,Deleiivery Truck,2/23/2015,27319,27319
16,express Air,8/14/2015,27320,27320
14,Regular Air,9/13/2016,27321,27321
3,express Air,7/27/2016,27322,27322
13,express Air,7/26/2014,27323,27323
18,express Air,3/13/2015,27324,27324
18,Deleiivery Truck,2/5/2017,27325,27325
1,Deleiivery Truck,12/21/2016,27326,27326
11,Deleiivery Truck,9/14/2016,27327,27327
7,Deleiivery Truck,7/16/2016,27328,27328
16,Deleiivery Truck,2/28/2016,27329,27329
7,express Air,8/7/2016,27330,27330
11,Regular Air,4/8/2015,27331,27331
6,Deleiivery Truck,7/29/2014,27332,27332
10,Regular Air,9/4/2014,27333,27333
4,express Air,8/21/2015,27334,27334
12,Regular Air,7/31/2016,27335,27335
17,express Air,6/29/2014,27336,27336
10,express Air,6/2/2014,27337,27337
13,express Air,7/28/2016,27338,27338
1,Deleiivery Truck,8/24/2016,27339,27339
12,Deleiivery Truck,12/28/2015,27340,27340
5,Regular Air,1/19/2015,27341,27341
16,Regular Air,11/30/2016,27342,27342
13,express Air,5/20/2014,27343,27343
7,Regular Air,2/13/2015,27344,27344
13,express Air,11/30/2016,27345,27345
11,Deleiivery Truck,7/16/2014,27346,27346
14,Regular Air,11/28/2015,27347,27347
6,express Air,8/26/2015,27348,27348
4,Regular Air,3/11/2016,27349,27349
17,Regular Air,2/17/2015,27350,27350
9,Deleiivery Truck,7/3/2014,27351,27351
19,express Air,1/12/2016,27352,27352
15,express Air,11/19/2015,27353,27353
5,express Air,7/30/2014,27354,27354
2,express Air,10/13/2015,27355,27355
19,express Air,11/18/2014,27356,27356
4,Deleiivery Truck,10/17/2014,27357,27357
10,Regular Air,8/25/2016,27358,27358
7,Deleiivery Truck,8/26/2014,27359,27359
2,Regular Air,7/30/2014,27360,27360
13,Deleiivery Truck,7/28/2014,27361,27361
19,Deleiivery Truck,9/15/2014,27362,27362
16,Regular Air,2/17/2016,27363,27363
8,express Air,11/30/2014,27364,27364
16,express Air,11/9/2014,27365,27365
19,express Air,10/2/2015,27366,27366
5,Deleiivery Truck,6/6/2014,27367,27367
10,express Air,6/7/2015,27368,27368
19,Regular Air,9/29/2015,27369,27369
13,express Air,8/11/2014,27370,27370
4,express Air,5/9/2015,27371,27371
19,Deleiivery Truck,12/4/2015,27372,27372
2,Deleiivery Truck,5/2/2015,27373,27373
13,Regular Air,10/17/2014,27374,27374
12,express Air,11/14/2014,27375,27375
3,Regular Air,8/31/2015,27376,27376
19,express Air,4/9/2016,27377,27377
8,Deleiivery Truck,10/15/2015,27378,27378
14,Deleiivery Truck,10/1/2014,27379,27379
10,Regular Air,5/4/2015,27380,27380
10,Deleiivery Truck,1/18/2017,27381,27381
13,express Air,4/30/2014,27382,27382
6,express Air,5/14/2016,27383,27383
2,Deleiivery Truck,5/30/2016,27384,27384
1,Regular Air,12/9/2015,27385,27385
15,Deleiivery Truck,5/8/2016,27386,27386
7,Deleiivery Truck,4/14/2014,27387,27387
13,express Air,8/5/2015,27388,27388
6,express Air,5/22/2015,27389,27389
12,express Air,12/25/2016,27390,27390
7,express Air,5/31/2016,27391,27391
12,Regular Air,12/23/2015,27392,27392
5,express Air,10/17/2015,27393,27393
9,express Air,6/7/2015,27394,27394
15,Regular Air,3/12/2016,27395,27395
12,Regular Air,6/10/2014,27396,27396
2,Regular Air,1/25/2017,27397,27397
5,express Air,11/8/2015,27398,27398
11,express Air,8/21/2016,27399,27399
19,Regular Air,4/26/2015,27400,27400
7,Regular Air,11/9/2014,27401,27401
8,Deleiivery Truck,8/5/2015,27402,27402
3,Regular Air,6/2/2014,27403,27403
2,express Air,12/28/2015,27404,27404
17,Regular Air,2/1/2016,27405,27405
6,Regular Air,3/13/2015,27406,27406
3,express Air,12/5/2014,27407,27407
14,express Air,1/17/2016,27408,27408
14,express Air,6/14/2016,27409,27409
6,express Air,9/13/2016,27410,27410
1,express Air,8/27/2014,27411,27411
7,express Air,7/8/2016,27412,27412
9,Regular Air,9/6/2014,27413,27413
12,Regular Air,5/11/2014,27414,27414
9,express Air,1/16/2017,27415,27415
11,Deleiivery Truck,5/6/2015,27416,27416
1,Regular Air,12/9/2015,27417,27417
3,Regular Air,9/10/2015,27418,27418
1,express Air,11/25/2014,27419,27419
19,Deleiivery Truck,5/20/2016,27420,27420
13,Deleiivery Truck,7/4/2015,27421,27421
1,express Air,8/26/2015,27422,27422
13,Regular Air,6/18/2015,27423,27423
1,Regular Air,4/25/2016,27424,27424
12,Deleiivery Truck,6/5/2014,27425,27425
12,Deleiivery Truck,5/7/2016,27426,27426
14,express Air,6/16/2015,27427,27427
9,Deleiivery Truck,9/14/2016,27428,27428
7,Deleiivery Truck,12/26/2015,27429,27429
3,express Air,6/23/2015,27430,27430
19,Regular Air,2/13/2016,27431,27431
2,Deleiivery Truck,10/7/2015,27432,27432
3,Deleiivery Truck,6/14/2014,27433,27433
19,Regular Air,4/22/2016,27434,27434
2,Deleiivery Truck,2/25/2015,27435,27435
9,express Air,2/26/2017,27436,27436
19,express Air,11/17/2014,27437,27437
18,Deleiivery Truck,11/19/2014,27438,27438
16,express Air,11/9/2016,27439,27439
12,Regular Air,2/22/2015,27440,27440
15,Deleiivery Truck,3/13/2015,27441,27441
2,Regular Air,4/1/2016,27442,27442
9,Regular Air,2/27/2017,27443,27443
7,Regular Air,11/22/2014,27444,27444
3,express Air,4/18/2016,27445,27445
10,Deleiivery Truck,6/21/2016,27446,27446
18,Deleiivery Truck,7/8/2016,27447,27447
1,express Air,10/23/2015,27448,27448
12,Regular Air,12/6/2016,27449,27449
16,express Air,3/9/2016,27450,27450
14,Regular Air,2/6/2016,27451,27451
7,express Air,10/26/2016,27452,27452
1,Regular Air,3/23/2016,27453,27453
11,Regular Air,11/15/2016,27454,27454
18,express Air,10/24/2014,27455,27455
4,Deleiivery Truck,6/7/2014,27456,27456
5,Regular Air,11/23/2016,27457,27457
6,Deleiivery Truck,2/3/2015,27458,27458
17,Deleiivery Truck,5/31/2016,27459,27459
5,express Air,4/8/2014,27460,27460
8,Deleiivery Truck,11/6/2015,27461,27461
17,express Air,4/9/2014,27462,27462
2,Regular Air,7/1/2014,27463,27463
1,Deleiivery Truck,10/20/2014,27464,27464
16,express Air,11/15/2015,27465,27465
2,Deleiivery Truck,1/13/2017,27466,27466
4,express Air,3/13/2015,27467,27467
4,Deleiivery Truck,8/5/2015,27468,27468
2,express Air,9/6/2014,27469,27469
2,Regular Air,4/19/2016,27470,27470
10,express Air,4/24/2014,27471,27471
14,Deleiivery Truck,5/4/2015,27472,27472
5,express Air,9/20/2016,27473,27473
3,Regular Air,8/8/2016,27474,27474
17,express Air,2/2/2016,27475,27475
4,express Air,1/13/2017,27476,27476
7,express Air,5/22/2015,27477,27477
7,Regular Air,7/19/2014,27478,27478
6,Deleiivery Truck,11/8/2016,27479,27479
1,express Air,7/9/2015,27480,27480
7,Deleiivery Truck,7/5/2016,27481,27481
10,Deleiivery Truck,4/12/2016,27482,27482
11,Deleiivery Truck,2/9/2015,27483,27483
10,express Air,11/12/2014,27484,27484
6,Regular Air,2/3/2015,27485,27485
5,Deleiivery Truck,12/9/2014,27486,27486
7,Deleiivery Truck,12/13/2016,27487,27487
17,express Air,4/28/2015,27488,27488
8,Deleiivery Truck,5/5/2015,27489,27489
7,express Air,5/20/2014,27490,27490
10,Deleiivery Truck,5/28/2014,27491,27491
13,express Air,1/18/2016,27492,27492
7,Regular Air,10/9/2014,27493,27493
19,Deleiivery Truck,4/1/2015,27494,27494
3,Deleiivery Truck,1/6/2015,27495,27495
12,Regular Air,4/14/2016,27496,27496
1,Deleiivery Truck,1/3/2015,27497,27497
18,Deleiivery Truck,5/16/2014,27498,27498
4,Regular Air,2/1/2015,27499,27499
16,Regular Air,2/27/2016,27500,27500
6,Regular Air,5/21/2016,27501,27501
16,Regular Air,4/17/2015,27502,27502
11,express Air,5/24/2014,27503,27503
5,express Air,12/28/2014,27504,27504
4,Deleiivery Truck,4/2/2016,27505,27505
18,express Air,4/16/2016,27506,27506
18,Regular Air,1/7/2015,27507,27507
19,Deleiivery Truck,2/19/2017,27508,27508
11,express Air,4/19/2016,27509,27509
18,Deleiivery Truck,7/6/2015,27510,27510
19,Deleiivery Truck,4/18/2016,27511,27511
17,Deleiivery Truck,3/17/2016,27512,27512
10,Deleiivery Truck,8/14/2015,27513,27513
14,Deleiivery Truck,5/8/2016,27514,27514
8,express Air,10/10/2015,27515,27515
6,Deleiivery Truck,3/24/2017,27516,27516
18,Deleiivery Truck,7/27/2014,27517,27517
14,express Air,2/25/2017,27518,27518
11,Deleiivery Truck,11/13/2014,27519,27519
7,Regular Air,6/4/2014,27520,27520
4,express Air,3/11/2016,27521,27521
8,Regular Air,9/18/2015,27522,27522
13,express Air,1/17/2016,27523,27523
5,Deleiivery Truck,8/30/2014,27524,27524
14,express Air,9/22/2014,27525,27525
13,Deleiivery Truck,1/26/2015,27526,27526
14,Regular Air,12/4/2016,27527,27527
1,Deleiivery Truck,12/5/2014,27528,27528
9,Deleiivery Truck,7/19/2015,27529,27529
1,express Air,10/21/2015,27530,27530
14,Deleiivery Truck,12/8/2015,27531,27531
8,Deleiivery Truck,11/25/2016,27532,27532
15,Deleiivery Truck,12/5/2016,27533,27533
17,express Air,1/12/2015,27534,27534
15,Deleiivery Truck,4/22/2015,27535,27535
3,Deleiivery Truck,11/14/2014,27536,27536
6,Regular Air,1/11/2016,27537,27537
18,Deleiivery Truck,6/22/2014,27538,27538
1,Deleiivery Truck,2/20/2016,27539,27539
19,Regular Air,11/13/2016,27540,27540
9,Regular Air,3/23/2016,27541,27541
3,Regular Air,4/17/2015,27542,27542
6,Regular Air,7/14/2016,27543,27543
4,Deleiivery Truck,6/12/2015,27544,27544
4,express Air,4/15/2014,27545,27545
9,express Air,7/28/2015,27546,27546
12,Deleiivery Truck,1/15/2016,27547,27547
4,Regular Air,12/13/2016,27548,27548
11,Deleiivery Truck,8/8/2016,27549,27549
5,Regular Air,9/14/2015,27550,27550
1,Deleiivery Truck,2/14/2017,27551,27551
2,Regular Air,2/12/2015,27552,27552
13,Deleiivery Truck,8/6/2014,27553,27553
1,Regular Air,4/1/2015,27554,27554
12,express Air,5/30/2015,27555,27555
6,Regular Air,8/26/2014,27556,27556
3,express Air,3/29/2017,27557,27557
12,Deleiivery Truck,12/26/2016,27558,27558
15,express Air,2/11/2015,27559,27559
10,Regular Air,1/24/2016,27560,27560
4,Deleiivery Truck,7/16/2015,27561,27561
19,Deleiivery Truck,6/15/2016,27562,27562
11,Deleiivery Truck,12/21/2016,27563,27563
15,express Air,8/28/2015,27564,27564
16,Deleiivery Truck,5/13/2016,27565,27565
13,Regular Air,8/14/2016,27566,27566
16,Deleiivery Truck,7/18/2015,27567,27567
6,Deleiivery Truck,4/10/2016,27568,27568
2,Deleiivery Truck,9/14/2015,27569,27569
2,express Air,4/11/2016,27570,27570
19,Regular Air,11/14/2014,27571,27571
6,Regular Air,11/30/2015,27572,27572
8,Deleiivery Truck,12/19/2015,27573,27573
2,express Air,9/9/2016,27574,27574
18,Regular Air,1/20/2015,27575,27575
18,express Air,12/17/2014,27576,27576
9,Regular Air,9/29/2014,27577,27577
3,Deleiivery Truck,11/16/2015,27578,27578
6,Regular Air,2/7/2017,27579,27579
16,Deleiivery Truck,1/26/2015,27580,27580
15,Deleiivery Truck,10/18/2016,27581,27581
16,Regular Air,1/11/2016,27582,27582
19,express Air,2/27/2017,27583,27583
8,express Air,4/24/2014,27584,27584
14,Deleiivery Truck,2/13/2016,27585,27585
7,Regular Air,3/12/2016,27586,27586
11,Deleiivery Truck,10/13/2014,27587,27587
9,Deleiivery Truck,12/16/2016,27588,27588
14,express Air,1/6/2016,27589,27589
19,express Air,5/2/2014,27590,27590
4,express Air,1/28/2017,27591,27591
6,express Air,11/3/2014,27592,27592
10,Regular Air,1/21/2016,27593,27593
4,Deleiivery Truck,2/23/2017,27594,27594
5,express Air,10/21/2015,27595,27595
18,express Air,4/14/2015,27596,27596
7,Regular Air,6/14/2014,27597,27597
11,express Air,8/8/2016,27598,27598
10,Deleiivery Truck,11/18/2014,27599,27599
4,express Air,7/28/2014,27600,27600
18,express Air,10/31/2014,27601,27601
5,Deleiivery Truck,6/7/2016,27602,27602
3,Deleiivery Truck,7/21/2015,27603,27603
1,Deleiivery Truck,2/3/2017,27604,27604
14,Regular Air,4/9/2014,27605,27605
10,Deleiivery Truck,12/22/2015,27606,27606
7,Regular Air,1/24/2017,27607,27607
10,Regular Air,10/19/2015,27608,27608
16,express Air,8/25/2014,27609,27609
12,express Air,3/31/2016,27610,27610
6,Regular Air,8/17/2014,27611,27611
8,Regular Air,8/6/2015,27612,27612
6,express Air,12/24/2015,27613,27613
5,Deleiivery Truck,6/27/2015,27614,27614
9,Deleiivery Truck,5/11/2016,27615,27615
8,express Air,1/3/2017,27616,27616
2,express Air,6/15/2015,27617,27617
13,express Air,6/8/2014,27618,27618
18,Deleiivery Truck,1/17/2016,27619,27619
16,Regular Air,4/28/2015,27620,27620
12,Deleiivery Truck,4/19/2014,27621,27621
1,Deleiivery Truck,10/10/2016,27622,27622
2,Deleiivery Truck,1/8/2015,27623,27623
5,Regular Air,6/12/2016,27624,27624
12,Deleiivery Truck,10/26/2014,27625,27625
17,Regular Air,9/20/2014,27626,27626
11,express Air,8/24/2015,27627,27627
7,Regular Air,4/12/2015,27628,27628
10,Deleiivery Truck,10/16/2014,27629,27629
10,express Air,4/18/2014,27630,27630
7,express Air,5/9/2016,27631,27631
10,express Air,4/5/2016,27632,27632
9,Deleiivery Truck,8/30/2016,27633,27633
18,express Air,10/21/2015,27634,27634
12,express Air,4/4/2015,27635,27635
18,express Air,4/17/2015,27636,27636
12,Regular Air,9/16/2016,27637,27637
15,Regular Air,9/10/2016,27638,27638
4,Regular Air,11/25/2016,27639,27639
4,Regular Air,6/4/2014,27640,27640
1,express Air,10/17/2016,27641,27641
11,Regular Air,6/14/2015,27642,27642
7,Deleiivery Truck,8/30/2015,27643,27643
19,express Air,3/16/2016,27644,27644
9,express Air,8/15/2015,27645,27645
2,Regular Air,3/7/2017,27646,27646
14,express Air,12/14/2015,27647,27647
5,Deleiivery Truck,1/3/2017,27648,27648
8,Deleiivery Truck,8/4/2016,27649,27649
11,Deleiivery Truck,1/28/2015,27650,27650
8,Deleiivery Truck,5/3/2015,27651,27651
9,express Air,10/23/2015,27652,27652
8,express Air,7/8/2014,27653,27653
18,express Air,2/19/2017,27654,27654
19,express Air,9/8/2016,27655,27655
19,express Air,12/5/2015,27656,27656
12,express Air,8/23/2016,27657,27657
14,express Air,9/17/2015,27658,27658
13,Regular Air,12/13/2016,27659,27659
18,Regular Air,4/30/2016,27660,27660
15,express Air,9/7/2016,27661,27661
19,express Air,4/6/2016,27662,27662
5,express Air,1/19/2017,27663,27663
2,express Air,8/22/2016,27664,27664
1,Deleiivery Truck,11/22/2015,27665,27665
12,Regular Air,1/2/2016,27666,27666
11,express Air,9/6/2014,27667,27667
9,express Air,9/16/2015,27668,27668
8,Regular Air,9/21/2016,27669,27669
14,Regular Air,1/26/2016,27670,27670
6,Deleiivery Truck,5/1/2014,27671,27671
16,Regular Air,6/12/2016,27672,27672
17,Regular Air,11/20/2016,27673,27673
18,Regular Air,11/12/2014,27674,27674
10,Regular Air,6/15/2015,27675,27675
11,express Air,9/10/2015,27676,27676
2,Regular Air,10/13/2015,27677,27677
9,Regular Air,3/20/2017,27678,27678
19,Deleiivery Truck,8/27/2014,27679,27679
11,Deleiivery Truck,1/12/2016,27680,27680
11,express Air,11/15/2014,27681,27681
10,Regular Air,6/21/2014,27682,27682
5,express Air,11/25/2015,27683,27683
9,Regular Air,5/20/2014,27684,27684
17,Deleiivery Truck,9/14/2015,27685,27685
14,Deleiivery Truck,10/26/2016,27686,27686
18,express Air,12/6/2014,27687,27687
8,Regular Air,9/2/2016,27688,27688
2,express Air,9/20/2016,27689,27689
13,express Air,12/1/2014,27690,27690
19,express Air,9/2/2014,27691,27691
16,Regular Air,9/2/2014,27692,27692
5,express Air,10/1/2015,27693,27693
6,Regular Air,11/26/2014,27694,27694
4,express Air,4/23/2014,27695,27695
6,Regular Air,10/10/2014,27696,27696
1,Deleiivery Truck,3/27/2016,27697,27697
3,Regular Air,2/1/2016,27698,27698
5,Deleiivery Truck,11/6/2016,27699,27699
7,Regular Air,3/22/2015,27700,27700
15,Deleiivery Truck,9/5/2015,27701,27701
7,Regular Air,2/19/2015,27702,27702
14,Deleiivery Truck,5/31/2015,27703,27703
17,Deleiivery Truck,5/30/2015,27704,27704
7,express Air,8/11/2015,27705,27705
2,express Air,1/8/2015,27706,27706
12,Deleiivery Truck,2/9/2017,27707,27707
16,Deleiivery Truck,11/5/2015,27708,27708
6,express Air,1/6/2017,27709,27709
3,Regular Air,5/30/2014,27710,27710
5,Deleiivery Truck,7/12/2014,27711,27711
4,express Air,9/14/2014,27712,27712
1,express Air,8/8/2015,27713,27713
16,Regular Air,2/27/2016,27714,27714
2,express Air,9/1/2016,27715,27715
7,Regular Air,10/28/2014,27716,27716
16,express Air,8/14/2014,27717,27717
13,express Air,6/7/2014,27718,27718
8,Regular Air,2/16/2016,27719,27719
14,Deleiivery Truck,10/9/2016,27720,27720
5,express Air,10/11/2016,27721,27721
19,express Air,12/22/2015,27722,27722
4,Regular Air,11/14/2014,27723,27723
6,express Air,10/31/2014,27724,27724
5,Regular Air,5/20/2016,27725,27725
14,Deleiivery Truck,7/19/2015,27726,27726
13,Regular Air,2/22/2016,27727,27727
8,Deleiivery Truck,4/22/2015,27728,27728
15,express Air,11/7/2014,27729,27729
6,Regular Air,2/7/2016,27730,27730
4,express Air,2/27/2017,27731,27731
2,Deleiivery Truck,1/11/2015,27732,27732
6,Regular Air,6/24/2014,27733,27733
18,Regular Air,8/23/2015,27734,27734
7,express Air,11/16/2015,27735,27735
3,Deleiivery Truck,2/18/2015,27736,27736
4,Deleiivery Truck,9/16/2016,27737,27737
6,Deleiivery Truck,7/21/2014,27738,27738
8,Deleiivery Truck,4/16/2014,27739,27739
18,express Air,11/13/2016,27740,27740
5,express Air,10/4/2015,27741,27741
9,express Air,12/26/2016,27742,27742
19,Regular Air,10/12/2016,27743,27743
14,Deleiivery Truck,4/4/2015,27744,27744
6,Regular Air,12/29/2015,27745,27745
19,Deleiivery Truck,2/1/2017,27746,27746
1,express Air,6/11/2015,27747,27747
18,express Air,9/24/2014,27748,27748
11,express Air,8/8/2014,27749,27749
7,express Air,7/28/2016,27750,27750
7,Regular Air,5/1/2016,27751,27751
1,express Air,3/6/2016,27752,27752
19,express Air,7/19/2015,27753,27753
14,express Air,5/25/2014,27754,27754
7,Regular Air,7/3/2014,27755,27755
16,Regular Air,3/29/2016,27756,27756
12,Deleiivery Truck,6/25/2016,27757,27757
14,Deleiivery Truck,3/10/2017,27758,27758
19,Regular Air,2/21/2016,27759,27759
18,Deleiivery Truck,8/10/2014,27760,27760
5,Deleiivery Truck,7/8/2016,27761,27761
6,Deleiivery Truck,9/23/2016,27762,27762
1,express Air,2/2/2016,27763,27763
3,express Air,4/16/2014,27764,27764
17,Regular Air,3/31/2017,27765,27765
6,Deleiivery Truck,11/5/2014,27766,27766
9,Regular Air,9/10/2014,27767,27767
16,Deleiivery Truck,5/19/2016,27768,27768
7,Regular Air,9/6/2015,27769,27769
15,Regular Air,4/5/2015,27770,27770
2,express Air,10/7/2014,27771,27771
14,Regular Air,9/29/2015,27772,27772
17,Deleiivery Truck,7/29/2016,27773,27773
9,Deleiivery Truck,1/30/2016,27774,27774
7,Deleiivery Truck,6/24/2016,27775,27775
15,express Air,9/30/2016,27776,27776
14,Deleiivery Truck,9/3/2015,27777,27777
19,express Air,8/29/2015,27778,27778
7,Regular Air,3/4/2015,27779,27779
8,express Air,8/21/2014,27780,27780
17,express Air,3/5/2017,27781,27781
4,express Air,11/7/2015,27782,27782
19,express Air,1/17/2017,27783,27783
2,express Air,5/13/2014,27784,27784
10,Deleiivery Truck,12/31/2016,27785,27785
3,Deleiivery Truck,5/17/2014,27786,27786
3,Regular Air,12/7/2014,27787,27787
8,Deleiivery Truck,5/24/2016,27788,27788
13,express Air,11/11/2015,27789,27789
16,Deleiivery Truck,8/22/2016,27790,27790
11,Regular Air,7/7/2016,27791,27791
9,Regular Air,3/12/2015,27792,27792
18,Deleiivery Truck,8/20/2014,27793,27793
17,Regular Air,10/8/2014,27794,27794
5,Regular Air,8/22/2015,27795,27795
6,Regular Air,1/19/2015,27796,27796
3,Regular Air,3/19/2015,27797,27797
14,express Air,3/22/2016,27798,27798
17,Deleiivery Truck,10/6/2016,27799,27799
7,Regular Air,8/6/2016,27800,27800
2,express Air,2/16/2016,27801,27801
12,express Air,5/22/2014,27802,27802
3,express Air,4/11/2016,27803,27803
19,express Air,8/27/2014,27804,27804
3,express Air,4/15/2016,27805,27805
9,Regular Air,11/19/2015,27806,27806
1,Regular Air,7/18/2015,27807,27807
15,express Air,3/19/2017,27808,27808
1,Deleiivery Truck,3/21/2016,27809,27809
17,express Air,3/5/2017,27810,27810
2,Deleiivery Truck,7/29/2014,27811,27811
2,express Air,7/3/2016,27812,27812
11,express Air,8/28/2016,27813,27813
6,Regular Air,1/23/2017,27814,27814
12,Regular Air,2/12/2015,27815,27815
1,express Air,7/19/2014,27816,27816
12,Regular Air,12/13/2016,27817,27817
19,express Air,8/5/2016,27818,27818
5,Deleiivery Truck,10/14/2016,27819,27819
5,express Air,11/14/2015,27820,27820
17,express Air,7/3/2015,27821,27821
9,express Air,1/5/2016,27822,27822
9,Regular Air,8/30/2014,27823,27823
8,express Air,2/10/2016,27824,27824
9,express Air,10/17/2014,27825,27825
16,Deleiivery Truck,5/11/2016,27826,27826
6,express Air,7/2/2015,27827,27827
5,Regular Air,4/13/2016,27828,27828
18,express Air,3/8/2016,27829,27829
7,Deleiivery Truck,7/28/2015,27830,27830
4,Deleiivery Truck,3/15/2016,27831,27831
11,Regular Air,8/10/2014,27832,27832
19,express Air,1/15/2015,27833,27833
2,express Air,2/10/2015,27834,27834
1,Deleiivery Truck,8/8/2014,27835,27835
12,Deleiivery Truck,8/26/2016,27836,27836
5,Deleiivery Truck,10/30/2015,27837,27837
14,Regular Air,9/6/2016,27838,27838
1,express Air,2/19/2015,27839,27839
